,movie_name,movie_year,movie_runtime,imdb_ratings,metascore,number_votes,us_gross_millions
0,Oppenheimer,2023,180,8.7,88,259649,
1,Interstellar,2014,169,8.7,74,1955614,188.02
2,Spider-Man: Across the Spider-Verse,2023,140,8.9,86,197616,
3,Inception,2010,148,8.8,74,2444409,292.58
4,The Dark Knight,2008,152,9.0,84,2753685,534.86
5,The Shawshank Redemption,1994,142,9.3,82,2777103,28.34
6,The Prestige,2006,130,8.5,66,1382098,53.09
7,The Godfather,1972,175,9.2,100,1933355,134.97
8,Memento,2000,113,8.4,83,1276842,25.54
9,Pulp Fiction,1994,154,8.9,95,2130947,107.93
10,The Dark Knight Rises,2012,164,8.4,78,1761259,448.14
11,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,615207,190.24
12,Raiders of the Lost Ark,1981,115,8.4,85,1006667,248.16
13,Braveheart,1995,178,8.3,68,1062762,75.6
14,Fight Club,1999,139,8.8,67,2212631,37.03
15,Inglourious Basterds,2009,153,8.3,69,1510227,120.54
16,Django Unchained,2012,165,8.4,81,1619689,162.81
17,Joker,2019,122,8.4,59,1380693,335.45
18,Avengers: Endgame,2019,181,8.4,78,1200608,858.37
19,Se7en,1995,127,8.6,65,1718069,100.13
20,Saving Private Ryan,1998,169,8.6,91,1438439,216.54
21,Schindler's List,1993,195,9.0,95,1397759,96.9
22,Back to the Future,1985,116,8.5,87,1253384,210.61
23,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1932265,315.54
24,Parasite,2019,132,8.5,96,873757,53.37
25,Gladiator,2000,155,8.5,67,1550437,187.71
26,American Beauty,1999,122,8.3,84,1180425,130.1
27,The Departed,2006,151,8.5,85,1369751,132.38
28,Forrest Gump,1994,142,8.8,82,2159809,330.25
29,The Silence of the Lambs,1991,118,8.6,86,1481725,130.74
30,12 Angry Men,1957,96,9.0,97,824073,4.36
31,Goodfellas,1990,145,8.7,92,1204906,46.84
32,Alien,1979,117,8.5,89,912166,78.9
33,Whiplash,2014,106,8.5,89,920447,13.09
34,The Shining,1980,146,8.4,66,1060485,44.02
35,Requiem for a Dream,2000,102,8.3,71,868898,3.64
36,One Flew Over the Cuckoo's Nest,1975,133,8.7,84,1037102,112.0
37,The Matrix,1999,136,8.7,73,1976406,171.48
38,Good Will Hunting,1997,126,8.3,70,1014675,138.43
39,Aliens,1986,137,8.4,84,738636,85.16
40,2001: A Space Odyssey,1968,149,8.3,84,692226,56.95
41,Léon: The Professional,1994,110,8.5,64,1200695,19.5
42,Terminator 2: Judgment Day,1991,137,8.6,75,1134024,204.84
43,The Pianist,2002,150,8.5,85,867800,32.57
44,Oldboy,2003,120,8.4,77,603475,0.71
45,Avengers: Infinity War,2018,149,8.4,68,1142474,678.82
46,Apocalypse Now,1979,147,8.4,94,687628,83.47
47,The Green Mile,1999,189,8.6,61,1349808,136.8
48,The Lord of the Rings: The Return of the King,2003,201,9.0,94,1903996,377.85
49,Reservoir Dogs,1992,99,8.3,81,1052159,2.83
